"","YearsExperience","Salary","Predicted_salary"
"1",1.1,39343,41912.6010029411
"2",1.3,46205,41316.8019300847
"3",1.5,37731,41397.4221806613
"4",2,43525,43492.7138461926
"5",2.2,39891,44834.6935195771
"6",2.9,56642,50829.3292899186
"7",3,60150,51797.8035097587
"8",3.2,54445,53790.9672720443
"9",3.2,64445,53790.9672720443
"10",3.7,57189,59013.450393572
"11",3.9,63218,61166.4622850027
"12",4,55794,62251.797771511
"13",4,56957,62251.797771511
"14",4.1,57081,63341.6639868533
"15",4.5,61111,67728.8858292821
"16",4.9,67938,72125.0630127843
"17",5.1,66029,74314.1997154035
"18",5.3,83088,76491.9474747706
"19",5.9,81363,82923.6848882151
"20",6,93940,83977.097896333
"21",6.8,91738,92162.0431631155
"22",7.1,98273,95105.1067631952
"23",7.9,101302,102564.961994461
"24",8.2,113812,105205.509994783
"25",8.7,109431,109403.253864938
"26",9,105582,111795.509079776
"27",9.5,116969,115564.249442473
"28",9.6,112635,116284.534060731
"29",10.3,122391,121005.760695173
"30",10.5,121872,122249.720092894
